\fixlen=T
| object            | ra            | dec            | major | cntr            |
|char               |double         |double          |double |int              |
  TrES-4              268.304166667   37.2116666667    10.0     157              
  TrES-5              305.220833333   59.4491666667    10.0     158              
  WASP-1b             5.16666666667   31.99            10.0     159              
  WASP-10b            348.991666667   31.4627777778    10.0     160              
  WASP-11_HAT-P-10b   47.3708333333   30.6736111111    10.0     161              
  WASP-12b            97.6375         29.6722222222    10.0     162              
  WASP-13b            140.104166667   33.8825          10.0     163              
  WASP-14b            218.275         21.8947222222    10.0     164              
  WASP-15b            208.929166667   -32.1597222222   10.0     165              
  WASP-16b            214.683333333   -20.2755555556   10.0     166              
  WASP-17b            239.9625        -28.0616666667   10.0     167              
  WASP-18b            24.3541666667   -45.6777777778   10.0     168              
  WASP-19b            148.416666667   -45.6591666667   10.0     169              
  WASP-2b             307.725         6.42944444444    10.0     170              
  WASP-21b            347.491666667   18.3961111111    10.0     171              
  WASP-22b            52.8166666667   -23.8197222222   10.0     172              
  WASP-23b            101.129166667   -42.7619444444   10.0     173              
  WASP-24b            227.216666667   2.34333333333    10.0     174              
  WASP-25b            195.358333333   -27.5222222222   10.0     175              
  WASP-26b            4.60416666667   -15.2672222222   10.0     176              
  WASP-28b            353.616666667   -1.58            10.0     177              
  WASP-29b            357.879166667   -39.9066666667   10.0     178              
  WASP-3b             278.633333333   35.6616666667    10.0     179              
  WASP-31b            169.4375        -19.0547222222   10.0     180              
  WASP-32b            3.9625          1.20055555556    10.0     181              
  WASP-33b            36.7125         37.5505555556    10.0     182              
  WASP-34b            165.4           -23.8605555556   10.0     183              
  WASP-36b            131.329166667   -8.02694444444   10.0     184              
  WASP-37b            221.945833333   1.065            10.0     185              
  WASP-38b            243.958333333   10.0325          10.0     186              
  WASP-39b            217.325         -3.44444444444   10.0     187              
  WASP-4b             353.5625        -42.0613888889   10.0     188              
  WASP-43b            154.908333333   -9.80638888889   10.0     189              
  WASP-44b            3.90416666667   -11.9380555556   10.0     190              
  WASP-45b            5.2375          -35.9983333333   10.0     191              
  WASP-46b            318.7375        -55.8716666667   10.0     192              
  WASP-47b            331.204166667   -12.0188888889   10.0     193              
  WASP-48b            291.1625        55.4730555556    10.0     194              
  WASP-5b             359.35          -41.2772222222   10.0     195              
  WASP-50b            43.6875         -10.8980555556   10.0     196              
  WASP-55b            208.758333333   -17.5036111111   10.0     197              
  WASP-6b             348.158333333   -22.6738888889   10.0     198              
  WASP-61b            75.3            -26.0541666667   10.0     199              
  WASP-62b            87.1416666667   -63.9883333333   10.0     200              
  WASP-63b            94.3375         -38.3233333333   10.0     201              
  WASP-66b            158.225         -34.9897222222   10.0     202              
  WASP-67b            295.745833333   -19.9494444444   10.0     203              
  WASP-7b             311.041666667   -39.2252777778   10.0     204              
  WASP-78b            63.7583333333   -22.1163888889   10.0     205              
  WASP-79b            66.3708333333   -30.6005555556   10.0     206              
  WASP-8b             359.9           -35.0313888889   10.0     207              
  XO-1b               240.55          28.1697222222    10.0     208              
  XO-2b               117.029166667   50.2258333333    10.0     209              
  XO-3b               65.4708333333   57.8169444444    10.0     210              
  XO-4b               110.3875        58.2680555556    10.0     211              
  XO-5b               116.716666667   39.0947222222    10.0     212
