# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HAT-P-8 b,1.34,1.5,3.0763402,0.0449,0.0,87.8,0.000195,S,2008,2011-11-28,,,detected by transit,,HAT-P-8,22:52:10.0,+35:26:50,10.17,,,,,230.0,0.01,1.28,1.58,,3.4,6200.0
HAT-P-9 b,0.67,1.4,3.922814,0.053,0.0,86.5,0.00011,R,2008,2011-05-20,,,detected by transit,,HAT-P-9,07:20:40.0,+37:08:26,,,11.27,11.04,11.02,480.0,0.12,1.28,1.32,F,1.6,6350.0
HATS-1 b,1.855,1.302,3.446459,0.0444,0.12,85.6,0.000147,R,2012,2012-06-08,60.0,,detected by transit,,HATS-1,11:42:06.0,-23:21:17,12.05,,,,,303.0,-0.06,0.986,1.038,,6.0,5870.0
HD 149026 b,0.356,0.718,2.8758916,0.04288,0.0,85.3,0.000543,R,2005,2012-07-05,,2453317.838,detected by transit,,HD 149026,16:30:29.0,+38:20:50,8.15,,,,,78.9,0.36,1.3,1.497,G0 IV,2.0,6147.0
HD 17156 b,3.191,1.095,21.2163979,0.1623,0.6768,87.21,0.002074,R,2007,2012-04-08,121.71,3738.529,detected by transit,,HD 17156,02:49:44.0,+71:45:12,8.17,,,,,78.24,0.24,1.275,1.508,G0,3.38,6079.0
HD 189733 b,1.138,1.138,2.21857312,0.03142,0.0041,85.51,0.001628,R,2005,2011-12-12,,,detected by transit,"H2O, CH4, CO, Na, H",HD 189733,20:00:43.0,+22:42:39,7.67,,,,,19.3,-0.03,0.8,0.788,K1-K2,0.6,4980.0
HD 209458 b,0.714,1.38,3.52474859,0.04747,0.0004,86.59,0.00101,R,1999,2012-07-05,83.0,,detected by transit,"H2O, H, Na, TiO, VO",HD 209458,22:03:10.0,+18:53:04,7.65,,,,,47.0,0.02,1.148,1.146,G0 V,4.0,6075.0
HD 80606 b,3.94,0.921,111.43637,0.449,0.93366,89.285,0.007688,R,2001,2012-01-26,300.651,2454424.857,detected by transit,K,HD 80606,09:22:37.0,+50:36:13,8.93,,,,,58.4,0.43,0.98,0.98,G5,7.63,5645.0
HD 97658 b,0.02,0.262,9.4957,0.0797,0.13,,0.003777,S,2010,2011-09-13,192.0,,detected by transit,,HD 97658,11:14:33.0,+25:42:37,6.27,,,,,21.1,-0.23,0.85,0.73,K1V,,5170.0
KELT-2A b,1.486,1.306,4.1137914,0.05498,0.185,,0.000427,R,2012,2012-06-11,160.0,2455974.83,detected by transit,,KELT-2A,06:10:39.0,+30:57:26,8.7,,,,,128.9,-0.015,1.31,1.842,F7V,,6148.0
KIC 10905746 b,,0.237,9.8844,0.0751,,88.42,,S,2011,2011-09-22,,,detected by transit,,KIC 10905746,18:54:31.0,+48:23:28,13.0,,,,,,-0.23,0.578,0.548,,,4240.0
KIC 6185331 b,,0.72,49.76971,0.2672,,89.2,,S,2011,2011-09-22,,,detected by transit,,KIC 6185331,18:57:06.0,+41:32:06,15.0,,,,,,0.11,1.027,1.27,,8.7,5619.0
KOI-13 b,12.1,1.83,1.7637,,,,,R,2011,2012-04-08,,,detected by transit,,KOI-13,19:07:53.0,+46:52:06,10.0,,,,,,-0.14,,2.44,,,8848.0
KOI-135 b,3.23,1.2,3.024095,0.0449,0.025,84.35,2.3e-05,R,2011,2011-10-26,,,detected by transit,,KOI-135,19:00:58.0,+46:40:06,14.0,,,,,1950.0,0.33,1.32,1.2,G0V/G0IV,2.8,6041.0
KOI-196 b,0.49,0.841,1.855558,0.029,0.0,88.3,4e-05,R,2011,2011-08-03,,,detected by transit,,KOI-196,19:38:03.0,+45:58:54,14.5,,,,,730.0,-0.09,0.94,0.966,G2V,7.4,5660.0
KOI-200 b,0.44,0.79,7.34,0.075,,,,S,2012,2012-06-05,,,detected by transit,,KOI-200,19:32:22.0,+41:21:20,15.0,,,,,,0.15,,0.76,,,5774.0
KOI-202 b,0.88,1.02,1.72,0.029,,,,S,2012,2012-06-05,,,detected by transit,,KOI-202,19:04:26.0,+43:40:52,14.5,,,,,,0.12,,1.04,,,5912.0
KOI-204 b,1.02,1.24,3.24674,0.0455,0.021,83.78,2e-05,R,2011,2011-10-26,,,detected by transit,,KOI-204,20:00:25.0,+45:45:44,15.0,,,,,2250.0,0.26,1.19,1.52,G2IV,6.95,5757.0
KOI-206 b,2.9,0.7,5.33,0.059,,,,S,2012,2012-06-05,,,detected by transit,,KOI-206,19:50:22.0,+40:58:38,14.5,,,,,,-0.13,,1.16,,,5771.0
KOI-254 b,0.505,0.96,2.455239,0.027,0.11,87.0,8.1e-05,S,2011,2012-04-05,230.0,,detected by transit,,KOI-254,19:31:30.0,+41:03:51,16.88,,,,,333.0,0.13,0.59,0.55,M,,3820.0
KOI-423 b,18.0,1.22,21.0874,0.155,0.121,88.83,0.000129,C,2011,2011-06-17,98.9,,detected by transit,,KOI-423,19:47:50.0,+46:02:04,14.3,,,,,1200.0,-0.29,1.1,1.39,F7IV,5.08,6260.0
KOI-428 b,2.2,1.17,6.87349,0.08,0.0,89.7,3e-05,R,2010,2011-01-01,,,detected by transit,,KOI-428,19:47:15.0,+47:31:36,14.76,,,,,2700.0,0.1,1.48,2.13,F5IV,2.8,6510.0
KOI-680 b,0.62,0.65,8.6,0.08,,,,S,2012,2012-06-05,,,detected by transit,,KOI-680,19:29:09.0,+43:11:50,14.0,,,,,,-0.46,,1.16,,,6060.0
KOI-730 b,,0.31,14.7903,0.12,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 c,,0.23,9.8499,0.092,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 d,,0.25,19.7216,0.145,,,,R,2011,2011-09-08,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 e,,0.18,7.3831,0.076,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
